Rk_stats_standard,Player,Nation_stats_standard,Pos_stats_standard,Squad_stats_standard,Age_stats_standard,Born_stats_standard,MP_stats_standard,Starts_stats_standard,Min_stats_standard,90s_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,PK_stats_standard,PKatt_stats_standard,CrdY_stats_standard,CrdR_stats_standard,xG_stats_standard,npxG_stats_standard,xAG_stats_standard,npxG+xAG_stats_standard,PrgC_stats_standard,PrgP_stats_standard,PrgR_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,G+A-PK_stats_standard,xG_stats_standard,xAG_stats_standard,xG+xAG_stats_standard,npxG_stats_standard,npxG+xAG_stats_standard,Matches_stats_standard,FirstName
11,Manuel Akanji,ch SUI,DF,Manchester City,29-293,1995,23,20,1744.0,19.4,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,138,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,Manuel
522,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-027,2001,27,21,1706.0,19.0,1,2,3,1,0,0,10,0,1.0,1.0,1.1,2.1,16,59,20,0.05,0.11,0.16,0.05,0.16,0.05,0.06,0.11,0.05,0.11,Matches,Manuel
216,Marc Guéhi,eng ENG,DF,Crystal Palace,24-299,2000,33,33,2969.0,33.0,3,2,5,3,0,0,9,1,2.0,2.0,1.5,3.5,22,128,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,Matches,Marc
113,Marc Cucurella,es ESP,DF,Chelsea,26-290,1998,33,30,2718.0,30.2,4,1,5,4,0,0,10,1,2.6,2.6,2.1,4.7,31,107,108,0.13,0.03,0.17,0.13,0.17,0.09,0.07,0.16,0.09,0.16,Matches,Marc
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-107,1996,10,6,540.0,6.0,3,1,4,3,0,2,1,0,4.2,2.6,0.8,3.4,16,34,26,0.50,0.17,0.67,0.50,0.67,0.70,0.14,0.84,0.43,0.57,Matches,Marco
462,Marcos Senesi,ar ARG,DF,Bournemouth,27-363,1997,15,12,1014.0,11.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,12,51,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,Marcos
497,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-047,1999,26,17,1670.0,18.6,3,5,8,3,0,0,5,0,5.3,5.3,2.8,8.1,41,102,106,0.16,0.27,0.43,0.16,0.43,0.29,0.15,0.44,0.29,0.44,Matches,Marcus
422,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-189,1997,15,12,978.0,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches,Marcus
423,Marcus Rashford,eng ENG,FW,Aston Villa,27-189,1997,10,4,444.0,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.20,0.61,0.62,0.46,1.08,0.46,0.92,Matches,Marcus
298,Mario Lemina,ga GAB,"MF,DF",Wolves,31-249,1993,17,15,1364.0,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches,Mario
